posicao,clube,gastos,entradas,receitas,saida,saldo
1,Barcelona,158,16,39.5,22,-118.5
2,Real Madrid,80,12,92.15,13,12.15
3,Atletico Madrid,29.5,23,28.25,23,-1.25
4, Real Sociedad,55,17,80.5,15,25.5
5,Villarreal,6.48,17,31.6,18,25.12
6,Betis,27.4,10,14.75,12,-12.65
7,Osasuna,2,11,0.25,14,-1.75
8,Atletico de Bilbao,38.1,15,31,13,-7.1
9,Mallorca,13.42,19,5.3,21,-8.12
10,Girona,15,24,0.75,22,-14.25
11,Ray Vallecano,14.3,17,0.2,15,-14.1
12, Sevilla,30.4,23,91.5,24,61.1
13,Celta de Vigo,23.09,20,17.2,17,-5.89
14, Cadiz,11.5,27,1,24,-10.5
15,Getafe,15.75,21,20.5,21,4.75
16,Valencia,12.5,14,54.6,15,42.1
17,Almeria,37.08,23,22.2,24,-14.88
18,Real Vallodolid,12.3,26,1.3,28,-11
19,Espanyol,20.6,27,17.8,26,-2.8
20,Elche,13.16,20,9.4,18,-3.76
