posicao,clube,gastos,entradas,receitas,saida,saldo
1,Manchester City,155,29,162.17,24,7.17
2,Arsenal,186.4,25,23.8,18,-162.6
3,Manchester United,243.28,24,23.65,19,-219.63
4,Newcastle,185,15,14.06,12,-170.94
5,Liverpool,145.8,11,80.7,13,-65.1
6,Brighton,55.7,22,138.4,23,82.7
7, Aston Villa,113,23,54,22,-59
8,Tottenham,179.9,15,38.75,14,-141.15
9,Brentford,49.25,23,3.6,21,-45.65
10,Fulham,76.1,20,25.4,21,-50.7
11,Crystal Palace,46.6,16,5.46,13,-41.15
12,Chelsea,630.25,28,67.86,25,-562.39
13, Wolves,179.51,31,62.87,27,-116.64
14, West Ham,196.6,12,21.55,13,-175.05
15, Bournemouth,83.1,17,0,13,-83.1
16, Nottingham Forest,198.35,42,5,26,-193.35
17, Everton, 83.07,17,103.6,19,20.53
18, Leicester City,49,10,81.4,9,32.4
19, Leeds,163.89,25,114.5,19,-49.39
20,Southampton,153.11,21,5.5,14,-147.61
