posicao,clube,gastos,entradas,receitas,saida,saldo
1,Napoli,79.3,33,86.38,31,7.08
2,Lazio,41.65,36,42.35,37,0.698
3,Inter,65.68,50,24.85,46,-40.83
4,Milan,58.29,30,11.11,28,-47.18
5,Atalanta,105.95,76,135.35,77,29.4
6,Roma,9.4,29,81.42,30,72.02
7,Juventus,122.75,25,111.59,24,-11.16
8,Fiorentina,37.61,36,50.73,37,13.12
9,Bologna,52.3,34,42.75,31,-9.55
10,Torino,30.38,34,57.22,35,26.84
11,Monza,49,33,0.185,34,-48.82
12,Udinese,69.7,30,62.6,28,-7.1
13,Sassuolo,51.28,46,79.33,51,28.05
14,Empoli,15.85,52,28.31,51,12.46
15,Salernitana,48.37,47,23.32,53,-25.05
16,Lecce,4.63,32,3.6,28,-1.03
17,Verona,41.21,45,36.56,42,-4.66
18,Spezia,18.32,33,32.97,33,14.66
19,Cremonese,36.65,42,0.5,42,-36.15
20,Sampdoria,6.77,53,35.6,50,28.83
